 

stn;time;t06200ds
AIG;19810101;-1.6
AIG;19810102;0.4
AIG;19810103;1.4
AIG;19810104;4.0
AIG;19810105;1.3
AIG;19810106;-0.1
AIG;19810107;-0.4
AIG;19810108;-8.0
AIG;19810109;-5.1
AIG;19810110;-2.6
AIG;19810111;-0.6
AIG;19810112;-5.4
AIG;19810113;-0.2
AIG;19810114;-14.5
AIG;19810115;0.5
AIG;19810116;0.3
AIG;19810117;-0.2
AIG;19810118;1.2
AIG;19810119;1.2
AIG;19810120;1.5
AIG;19810121;-4.4
AIG;19810122;-3.9
AIG;19810123;-7.4
AIG;19810124;-9.2
AIG;19810125;-4.8
AIG;19810126;-1.7
AIG;19810127;-5.1
AIG;19810128;-8.8
AIG;19810129;-6.5
AIG;19810130;-7.5
AIG;19810131;-9.2
AIG;19810201;-4.6
AIG;19810202;-7.5
AIG;19810203;-4.7
AIG;19810204;2.0
AIG;19810205;1.3
AIG;19810206;0.0
AIG;19810207;1.7
AIG;19810208;0.9
AIG;19810209;0.6
AIG;19810210;1.4
AIG;19810211;-1.7
AIG;19810212;-4.1
AIG;19810213;-5.5
AIG;19810214;-6.6
AIG;19810215;-6.4
AIG;19810216;-5.1
AIG;19810217;-5.4
AIG;19810218;-1.9
AIG;19810219;-2.7
AIG;19810220;-5.7
AIG;19810221;-1.7
AIG;19810222;-5.7
AIG;19810223;-3.0
AIG;19810224;-0.9
AIG;19810225;0.3
AIG;19810226;-1.9
AIG;19810227;-3.0
AIG;19810228;5.4
AIG;19810301;0.7
AIG;19810302;2.4
AIG;19810303;2.3
AIG;19810304;1.8
AIG;19810305;0.8
AIG;19810306;4.1
AIG;19810307;3.3
AIG;19810308;6.1
AIG;19810309;6.6
AIG;19810310;9.7
AIG;19810311;11.6
AIG;19810312;9.9
AIG;19810313;5.6
AIG;19810314;3.7
AIG;19810315;3.8
AIG;19810316;3.5
AIG;19810317;0.4
AIG;19810318;0.6
AIG;19810319;-1.9
AIG;19810320;0.7
AIG;19810321;5.1
AIG;19810322;8.8
AIG;19810323;3.6
AIG;19810324;7.2
AIG;19810325;10.1
AIG;19810326;12.0
AIG;19810327;7.6
AIG;19810328;3.7
AIG;19810329;8.0
AIG;19810330;8.4
AIG;19810331;6.8
AIG;19810401;7.1
AIG;19810402;5.0
AIG;19810403;10.1
AIG;19810404;5.8
AIG;19810405;8.9
AIG;19810406;8.4
AIG;19810407;8.4
AIG;19810408;10.2
AIG;19810409;8.3
AIG;19810410;8.8
AIG;19810411;14.5
AIG;19810412;12.0
AIG;19810413;10.3
AIG;19810414;10.3
AIG;19810415;10.5
AIG;19810416;7.5
AIG;19810417;6.0
AIG;19810418;3.1
AIG;19810419;-0.5
AIG;19810420;2.5
AIG;19810421;0.8
AIG;19810422;1.1
AIG;19810423;3.2
AIG;19810424;4.4
AIG;19810425;3.5
AIG;19810426;8.5
AIG;19810427;2.0
AIG;19810428;5.1
AIG;19810429;4.7
AIG;19810430;4.3
AIG;19810501;9.8
AIG;19810502;8.7
AIG;19810503;6.4
AIG;19810504;5.0
AIG;19810505;5.2
AIG;19810506;5.6
AIG;19810507;7.2
AIG;19810508;12.9
AIG;19810509;8.2
AIG;19810510;20.1
AIG;19810511;8.7
AIG;19810512;7.1
AIG;19810513;9.2
AIG;19810514;10.0
AIG;19810515;10.0
AIG;19810516;10.3
AIG;19810517;9.0
AIG;19810518;11.2
AIG;19810519;14.8
AIG;19810520;12.7
AIG;19810521;14.6
AIG;19810522;12.2
AIG;19810523;10.5
AIG;19810524;10.9
AIG;19810525;12.3
AIG;19810526;8.0
AIG;19810527;7.6
AIG;19810528;8.4
AIG;19810529;10.8
AIG;19810530;13.7
AIG;19810531;13.6
AIG;19810601;15.9
AIG;19810602;18.3
AIG;19810603;16.5
AIG;19810604;12.7
AIG;19810605;9.9
AIG;19810606;13.5
AIG;19810607;15.5
AIG;19810608;16.5
AIG;19810609;19.3
AIG;19810610;14.7
AIG;19810611;13.9
AIG;19810612;16.6
AIG;19810613;17.5
AIG;19810614;15.8
AIG;19810615;16.4
AIG;19810616;17.4
AIG;19810617;13.5
AIG;19810618;11.0
AIG;19810619;9.9
AIG;19810620;9.1
AIG;19810621;12.3
AIG;19810622;8.1
AIG;19810623;9.5
AIG;19810624;10.0
AIG;19810625;11.2
AIG;19810626;12.9
AIG;19810627;12.1
AIG;19810628;20.3
AIG;19810629;12.7
AIG;19810630;8.4
AIG;19810701;11.4
AIG;19810702;12.7
AIG;19810703;16.6
AIG;19810704;11.2
AIG;19810705;13.0
AIG;19810706;15.6
AIG;19810707;14.7
AIG;19810708;15.6
AIG;19810709;16.9
AIG;19810710;17.4
AIG;19810711;15.6
AIG;19810712;16.1
AIG;19810713;15.7
AIG;19810714;14.6
AIG;19810715;14.9
AIG;19810716;15.8
AIG;19810717;16.1
AIG;19810718;12.5
AIG;19810719;8.3
AIG;19810720;10.1
AIG;19810721;12.9
AIG;19810722;15.3
AIG;19810723;15.1
AIG;19810724;12.4
AIG;19810725;11.7
AIG;19810726;10.6
AIG;19810727;11.2
AIG;19810728;9.5
AIG;19810729;11.1
AIG;19810730;16.0
AIG;19810731;18.5
AIG;19810801;20.6
AIG;19810802;15.4
AIG;19810803;15.7
AIG;19810804;16.0
AIG;19810805;16.4
AIG;19810806;16.7
AIG;19810807;14.5
AIG;19810808;15.8
AIG;19810809;15.5
AIG;19810810;15.5
AIG;19810811;12.9
AIG;19810812;12.1
AIG;19810813;14.6
AIG;19810814;14.1
AIG;19810815;14.1
AIG;19810816;15.8
AIG;19810817;18.8
AIG;19810818;10.6
AIG;19810819;12.1
AIG;19810820;11.9
AIG;19810821;13.2
AIG;19810822;8.5
AIG;19810823;11.1
AIG;19810824;7.4
AIG;19810825;8.9
AIG;19810826;9.1
AIG;19810827;9.7
AIG;19810828;9.3
AIG;19810829;9.5
AIG;19810830;9.2
AIG;19810831;10.2
AIG;19810901;15.2
AIG;19810902;11.5
AIG;19810903;12.8
AIG;19810904;8.1
AIG;19810905;12.2
AIG;19810906;9.9
AIG;19810907;10.4
AIG;19810908;14.8
AIG;19810909;16.5
AIG;19810910;15.6
AIG;19810911;13.8
AIG;19810912;12.8
AIG;19810913;15.4
AIG;19810914;12.2
AIG;19810915;11.6
AIG;19810916;12.7
AIG;19810917;11.3
AIG;19810918;8.5
AIG;19810919;14.8
AIG;19810920;13.7
AIG;19810921;15.4
AIG;19810922;12.3
AIG;19810923;14.4
AIG;19810924;11.3
AIG;19810925;11.4
AIG;19810926;10.7
AIG;19810927;9.1
AIG;19810928;7.7
AIG;19810929;9.2
AIG;19810930;3.8
AIG;19811001;3.7
AIG;19811002;10.6
AIG;19811003;9.4
AIG;19811004;7.5
AIG;19811005;9.0
AIG;19811006;13.2
AIG;19811007;13.1
AIG;19811008;5.8
AIG;19811009;10.7
AIG;19811010;13.0
AIG;19811011;11.7
AIG;19811012;7.9
AIG;19811013;8.9
AIG;19811014;5.5
AIG;19811015;9.7
AIG;19811016;9.7
AIG;19811017;9.7
AIG;19811018;13.2
AIG;19811019;11.0
AIG;19811020;7.1
AIG;19811021;10.1
AIG;19811022;2.5
AIG;19811023;0.0
AIG;19811024;4.1
AIG;19811025;2.0
AIG;19811026;2.1
AIG;19811027;5.6
AIG;19811028;3.6
AIG;19811029;2.2
AIG;19811030;7.0
AIG;19811031;8.3
AIG;19811101;6.0
AIG;19811102;6.1
AIG;19811103;6.0
AIG;19811104;6.0
AIG;19811105;4.6
AIG;19811106;8.6
AIG;19811107;1.5
AIG;19811108;-2.0
AIG;19811109;1.0
AIG;19811110;-1.6
AIG;19811111;-1.7
AIG;19811112;1.4
AIG;19811113;2.5
AIG;19811114;5.9
AIG;19811115;-2.5
AIG;19811116;-4.2
AIG;19811117;-3.9
AIG;19811118;3.4
AIG;19811119;7.2
AIG;19811120;7.4
AIG;19811121;1.3
AIG;19811122;6.0
AIG;19811123;0.8
AIG;19811124;6.0
AIG;19811125;5.7
AIG;19811126;-1.5
AIG;19811127;0.9
AIG;19811128;3.6
AIG;19811129;0.9
AIG;19811130;0.5
AIG;19811201;2.6
AIG;19811202;-0.6
AIG;19811203;-2.0
AIG;19811204;-0.9
AIG;19811205;3.6
AIG;19811206;-0.6
AIG;19811207;0.6
AIG;19811208;3.5
AIG;19811209;5.9
AIG;19811210;6.6
AIG;19811211;6.1
AIG;19811212;4.3
AIG;19811213;0.7
AIG;19811214;0.3
AIG;19811215;1.7
AIG;19811216;8.7
AIG;19811217;3.6
AIG;19811218;7.7
AIG;19811219;-1.3
AIG;19811220;-5.5
AIG;19811221;-2.0
AIG;19811222;0.5
AIG;19811223;1.1
AIG;19811224;2.6
AIG;19811225;1.5
AIG;19811226;-1.2
AIG;19811227;-1.9
AIG;19811228;1.1
AIG;19811229;9.7
AIG;19811230;1.2
AIG;19811231;7.3
AIG;19820101;4.4
AIG;19820102;2.0
AIG;19820103;4.3
AIG;19820104;2.8
AIG;19820105;6.5
AIG;19820106;6.0
AIG;19820107;1.3
AIG;19820108;-1.7
AIG;19820109;8.4
AIG;19820110;4.1
AIG;19820111;4.4
AIG;19820112;4.3
AIG;19820113;2.3
AIG;19820114;-2.0
AIG;19820115;0.3
AIG;19820116;1.7
AIG;19820117;1.3
AIG;19820118;-1.3
AIG;19820119;-2.1
AIG;19820120;-2.5
AIG;19820121;-1.1
AIG;19820122;0.7
AIG;19820123;0.6
AIG;19820124;0.8
AIG;19820125;-0.5
AIG;19820126;-0.4
AIG;19820127;-1.0
AIG;19820128;1.3
AIG;19820129;0.6
AIG;19820130;3.3
AIG;19820131;6.9
AIG;19820201;0.3
AIG;19820202;1.1
AIG;19820203;0.0
AIG;19820204;3.1
AIG;19820205;3.0
AIG;19820206;0.0
AIG;19820207;4.5
AIG;19820208;2.3
AIG;19820209;0.7
AIG;19820210;0.2
AIG;19820211;0.4
AIG;19820212;1.3
AIG;19820213;-1.0
AIG;19820214;1.8
AIG;19820215;2.5
AIG;19820216;0.2
AIG;19820217;0.7
AIG;19820218;2.6
AIG;19820219;2.7
AIG;19820220;3.7
AIG;19820221;1.5
AIG;19820222;0.4
AIG;19820223;-0.5
AIG;19820224;-4.8
AIG;19820225;-6.9
AIG;19820226;-2.4
AIG;19820227;-3.4
AIG;19820228;-3.6
AIG;19820301;-0.1
AIG;19820302;4.5
AIG;19820303;3.6
AIG;19820304;3.1
AIG;19820305;5.0
AIG;19820306;0.4
AIG;19820307;-2.1
AIG;19820308;-0.1
AIG;19820309;1.0
AIG;19820310;4.4
AIG;19820311;5.4
AIG;19820312;0.0
AIG;19820313;1.6
AIG;19820314;-2.7
AIG;19820315;0.9
AIG;19820316;6.1
AIG;19820317;7.2
AIG;19820318;1.5
AIG;19820319;1.4
AIG;19820320;1.7
AIG;19820321;3.3
AIG;19820322;0.0
AIG;19820323;1.0
AIG;19820324;0.9
AIG;19820325;-0.1
AIG;19820326;1.2
AIG;19820327;0.7
AIG;19820328;6.3
AIG;19820329;6.6
AIG;19820330;3.5
AIG;19820331;0.6
AIG;19820401;0.2
AIG;19820402;1.7
AIG;19820403;4.3
AIG;19820404;2.2
AIG;19820405;6.1
AIG;19820406;10.1
AIG;19820407;7.9
AIG;19820408;8.4
AIG;19820409;6.6
AIG;19820410;2.6
AIG;19820411;0.1
AIG;19820412;3.1
AIG;19820413;0.7
AIG;19820414;-0.5
AIG;19820415;-0.8
AIG;19820416;1.4
AIG;19820417;6.9
AIG;19820418;2.2
AIG;19820419;1.2
AIG;19820420;1.2
AIG;19820421;1.6
AIG;19820422;2.6
AIG;19820423;2.3
AIG;19820424;5.2
AIG;19820425;0.5
AIG;19820426;1.9
AIG;19820427;2.4
AIG;19820428;0.9
AIG;19820429;3.9
AIG;19820430;4.7
AIG;19820501;5.2
AIG;19820502;4.0
AIG;19820503;8.6
AIG;19820504;12.7
AIG;19820505;9.0
AIG;19820506;4.3
AIG;19820507;4.4
AIG;19820508;3.5
AIG;19820509;7.2
AIG;19820510;7.2
AIG;19820511;3.8
AIG;19820512;5.5
AIG;19820513;7.2
AIG;19820514;8.8
AIG;19820515;12.6
AIG;19820516;12.4
AIG;19820517;13.2
AIG;19820518;14.4
AIG;19820519;14.0
AIG;19820520;13.7
